states,year,quarter,brand,user_counts,percentage
Andhra Pradesh,2018,3,Samsung,1103186,0.203254
Andhra Pradesh,2018,3,Vivo,761793,0.140355
Andhra Pradesh,2018,3,Oppo,518120,0.09546
Andhra Pradesh,2018,3,Realme,379712,0.069959
Andhra Pradesh,2018,3,Motorola,203756,0.037541
Andhra Pradesh,2018,3,OnePlus,181364,0.033415
Andhra Pradesh,2018,3,Apple,175343,0.032306
Andhra Pradesh,2018,3,Huawei,134429,0.024768
Andhra Pradesh,2018,3,Lenovo,122489,0.022568
Andhra Pradesh,2018,3,Others,462313,0.085178
Andhra Pradesh,2018,4,Xiaomi,1753802,0.255753
Andhra Pradesh,2018,4,Samsung,1388061,0.202418
Andhra Pradesh,2018,4,Vivo,1011185,0.147459
Andhra Pradesh,2018,4,Oppo,675093,0.098447
Andhra Pradesh,2018,4,Realme,476746,0.069523
Andhra Pradesh,2018,4,Motorola,250601,0.036545
Andhra Pradesh,2018,4,OnePlus,210161,0.030647
Andhra Pradesh,2018,4,Apple,209737,0.030585
Andhra Pradesh,2018,4,Huawei,176237,0.0257
Andhra Pradesh,2018,4,Lenovo,149583,0.021813
Andhra Pradesh,2018,4,Others,556203,0.08111
Andhra Pradesh,2019,1,Xiaomi,2110547,0.254804
Andhra Pradesh,2019,1,Samsung,1688342,0.203832
Andhra Pradesh,2019,1,Vivo,1262871,0.152465
Andhra Pradesh,2019,1,Oppo,835541,0.100874
Andhra Pradesh,2019,1,Realme,564832,0.068192
Andhra Pradesh,2019,1,Motorola,291830,0.035232
Andhra Pradesh,2019,1,Apple,241108,0.029109
Andhra Pradesh,2019,1,OnePlus,237269,0.028645
Andhra Pradesh,2019,1,Huawei,220082,0.02657
Andhra Pradesh,2019,1,Lenovo,171471,0.020702
Andhra Pradesh,2019,1,Others,659126,0.079576
Andhra Pradesh,2019,2,Xiaomi,2389374,0.254486
Andhra Pradesh,2019,2,Samsung,1914378,0.203896
Andhra Pradesh,2019,2,Vivo,1466695,0.156214
Andhra Pradesh,2019,2,Oppo,963352,0.102604
Andhra Pradesh,2019,2,Realme,641519,0.068327
Andhra Pradesh,2019,2,Motorola,324778,0.034591
Andhra Pradesh,2019,2,Apple,264860,0.02821
Andhra Pradesh,2019,2,OnePlus,254273,0.027082
Andhra Pradesh,2019,2,Huawei,250859,0.026718
Andhra Pradesh,2019,2,Lenovo,189151,0.020146
Andhra Pradesh,2019,2,Others,729764,0.077725
Andhra Pradesh,2019,3,Xiaomi,2656468,0.253996
Andhra Pradesh,2019,3,Samsung,2123659,0.203052
Andhra Pradesh,2019,3,Vivo,1674109,0.160069
Andhra Pradesh,2019,3,Oppo,1087660,0.103996
Andhra Pradesh,2019,3,Realme,727964,0.069604
Andhra Pradesh,2019,3,Motorola,348910,0.033361
Andhra Pradesh,2019,3,Apple,286412,0.027385
Andhra Pradesh,2019,3,Huawei,282587,0.027019
Andhra Pradesh,2019,3,OnePlus,271100,0.025921
Andhra Pradesh,2019,3,Lenovo,194180,0.018566
Andhra Pradesh,2019,3,Others,805644,0.077031
Andhra Pradesh,2019,4,Xiaomi,2985953,0.253953
Andhra Pradesh,2019,4,Samsung,2379139,0.202344
Andhra Pradesh,2019,4,Vivo,1922141,0.163477
Andhra Pradesh,2019,4,Oppo,1241235,0.105566
Andhra Pradesh,2019,4,Realme,844668,0.071838
Andhra Pradesh,2019,4,Motorola,381692,0.032463
Andhra Pradesh,2019,4,Huawei,317290,0.026985
Andhra Pradesh,2019,4,Apple,308354,0.026225
Andhra Pradesh,2019,4,OnePlus,286412,0.024359
Andhra Pradesh,2019,4,Lenovo,208785,0.017757
Andhra Pradesh,2019,4,Others,882214,0.075032
Andhra Pradesh,2020,1,Xiaomi,3307542,0.253995
Andhra Pradesh,2020,1,Samsung,2622762,0.201409
Andhra Pradesh,2020,1,Vivo,2165012,0.166257
Andhra Pradesh,2020,1,Oppo,1387060,0.106516
Andhra Pradesh,2020,1,Realme,960418,0.073753
Andhra Pradesh,2020,1,Motorola,411062,0.031567
Andhra Pradesh,2020,1,Huawei,348324,0.026749
Andhra Pradesh,2020,1,Apple,329329,0.02529
Andhra Pradesh,2020,1,OnePlus,298911,0.022954
Andhra Pradesh,2020,1,Lenovo,227154,0.017444
Andhra Pradesh,2020,1,Others,964486,0.074066
Andhra Pradesh,2020,2,Xiaomi,3635594,0.253888
Andhra Pradesh,2020,2,Samsung,2888149,0.201691
Andhra Pradesh,2020,2,Vivo,2409399,0.168258
Andhra Pradesh,2020,2,Oppo,1535129,0.107204
Andhra Pradesh,2020,2,Realme,1072165,0.074874
Andhra Pradesh,2020,2,Motorola,445380,0.031103
Andhra Pradesh,2020,2,Huawei,379220,0.026482
Andhra Pradesh,2020,2,Apple,348938,0.024368
Andhra Pradesh,2020,2,OnePlus,309208,0.021593
Andhra Pradesh,2020,2,Lenovo,243288,0.01699
Andhra Pradesh,2020,2,Others,1053205,0.07355
Andhra Pradesh,2020,3,Xiaomi,3978789,0.253549
Andhra Pradesh,2020,3,Samsung,3154020,0.20099
Andhra Pradesh,2020,3,Vivo,2687996,0.171293
Andhra Pradesh,2020,3,Oppo,1695723,0.10806
Andhra Pradesh,2020,3,Realme,1207622,0.076956
Andhra Pradesh,2020,3,Motorola,477313,0.030417
Andhra Pradesh,2020,3,Huawei,408520,0.026033
Andhra Pradesh,2020,3,Apple,370327,0.023599
Andhra Pradesh,2020,3,OnePlus,322028,0.020521
Andhra Pradesh,2020,3,Lenovo,260912,0.016627
Andhra Pradesh,2020,3,Others,1129155,0.071956
Andhra Pradesh,2020,4,Xiaomi,4325662,0.25331
Andhra Pradesh,2020,4,Samsung,3419866,0.200267
Andhra Pradesh,2020,4,Vivo,2950572,0.172785
Andhra Pradesh,2020,4,Oppo,1856052,0.10869
Andhra Pradesh,2020,4,Realme,1361491,0.079729
Andhra Pradesh,2020,4,Motorola,506158,0.029641
Andhra Pradesh,2020,4,Huawei,437125,0.025598
Andhra Pradesh,2020,4,Apple,394191,0.023084
Andhra Pradesh,2020,4,OnePlus,336518,0.019706
Andhra Pradesh,2020,4,Lenovo,276671,0.016202
Andhra Pradesh,2020,4,Others,1212259,0.07099
Andhra Pradesh,2021,1,Xiaomi,4644641,0.252925
Andhra Pradesh,2021,1,Samsung,3635596,0.197977
Andhra Pradesh,2021,1,Vivo,3245151,0.176715
Andhra Pradesh,2021,1,Oppo,2010506,0.109482
Andhra Pradesh,2021,1,Realme,1531645,0.083406
Andhra Pradesh,2021,1,Motorola,518115,0.028214
Andhra Pradesh,2021,1,Huawei,455604,0.02481
Andhra Pradesh,2021,1,Apple,421002,0.022926
Andhra Pradesh,2021,1,OnePlus,355922,0.019382
Andhra Pradesh,2021,1,Lenovo,277980,0.015137
Andhra Pradesh,2021,1,Others,1267571,0.069026
Andhra Pradesh,2021,2,Xiaomi,4937684,0.251654
Andhra Pradesh,2021,2,Samsung,3798250,0.193582
Andhra Pradesh,2021,2,Vivo,3572140,0.182058
Andhra Pradesh,2021,2,Oppo,2173037,0.110751
Andhra Pradesh,2021,2,Realme,1817804,0.092646
Andhra Pradesh,2021,2,Motorola,503072,0.02564
Andhra Pradesh,2021,2,Apple,450689,0.02297
Andhra Pradesh,2021,2,Huawei,440324,0.022442
Andhra Pradesh,2021,2,OnePlus,394851,0.020124
Andhra Pradesh,2021,2,Lenovo,261201,0.013312
Andhra Pradesh,2021,2,Others,1271853,0.064821
Andhra Pradesh,2021,3,Xiaomi,5256707,0.249607
Andhra Pradesh,2021,3,Vivo,3981492,0.189056
Andhra Pradesh,2021,3,Samsung,3911188,0.185717
Andhra Pradesh,2021,3,Oppo,2382363,0.113123
Andhra Pradesh,2021,3,Realme,2134616,0.101359
Andhra Pradesh,2021,3,Motorola,486971,0.023123
Andhra Pradesh,2021,3,Apple,480993,0.022839
Andhra Pradesh,2021,3,OnePlus,459011,0.021795
Andhra Pradesh,2021,3,Huawei,435214,0.020666
Andhra Pradesh,2021,3,Lenovo,245241,0.011645
Andhra Pradesh,2021,3,Others,1286102,0.061069
Andhra Pradesh,2021,4,Xiaomi,5518238,0.245375
Andhra Pradesh,2021,4,Vivo,4381023,0.194807
