states,year,quarter,district,trans_counts,amount
Assam,2020,4,Charaideo District,152117,356182476.76
Assam,2020,4,Darrang District,239602,682167456.15
Assam,2020,4,Kamrup Metropolitan District,5300547,16105922899.46
Assam,2020,4,Hailakandi District,189140,419018012.37
Assam,2020,4,Barpeta District,724763,2053361856.48
Assam,2020,4,Goalpara District,381733,1018165139.84
Assam,2020,4,Biswanath District,215627,472733035.6
Assam,2020,4,Jorhat District,400452,815676507.47
Assam,2021,1,Tinsukia District,480161,1160430411.71
Assam,2021,1,Lakhimpur District,278213,669614741.67
Assam,2021,1,Kamrup District,557802,1450662971.7
Assam,2021,1,Kokrajhar District,228889,627990382.79
Assam,2021,1,Karbi Anglong District,217934,608528765.13
Assam,2021,1,Sivasagar District,242611,602350918.99
Assam,2021,1,Dibrugarh District,680608,1710571109.98
Assam,2021,1,South Salmara Mancachar District,134708,477352228.41
Assam,2021,1,Nagaon District,675634,2019926209.38
Assam,2021,1,Dhubri District,362613,1035861131.43
Assam,2021,1,Golaghat District,311238,749087184.83
Assam,2021,1,Udalguri District,173233,451305008.43
Assam,2021,1,Majuli District,34915,74357604.61
Assam,2021,1,Sonitpur District,669242,1689369790.43
Assam,2021,1,Hojai District,220269,591418708.81
Assam,2021,1,Marigaon District,298011,918760114.97
Assam,2021,1,Chirang District,127192,321319197.08
Assam,2021,1,Cachar District,614703,1577581912.68
Assam,2021,1,Nalbari District,197323,506378435.71
Assam,2021,1,West Karbi Anglong District,41137,84887268.51
Assam,2021,1,Dhemaji District,231336,615209792.83
Assam,2021,1,Karimganj District,304173,916185934.31
Assam,2021,1,Bongaigaon District,321020,874996649.18
Assam,2021,1,Dima Hasao District,104846,283821933.22
Assam,2021,1,Baksa District,260583,764921383.9
Assam,2021,1,Charaideo District,138143,380869059.44
Assam,2021,1,Darrang District,259665,757825643.4
Assam,2021,1,Kamrup Metropolitan District,9400818,24003716533.7
Assam,2021,1,Hailakandi District,189886,515905421.9
Assam,2021,1,Barpeta District,768249,2378951523.38
Assam,2021,1,Goalpara District,400249,1203600745.35
Assam,2021,1,Biswanath District,197774,446301042.83
Assam,2021,1,Jorhat District,388882,856404785.43
Assam,2021,2,Tinsukia District,606143,1318534292.53
Assam,2021,2,Lakhimpur District,361975,751021666.69
Assam,2021,2,Kamrup District,737877,1686926641.04
Assam,2021,2,Kokrajhar District,291109,760467202.4
Assam,2021,2,Karbi Anglong District,275847,664132421.61
Assam,2021,2,Sivasagar District,303100,635897961.45
Assam,2021,2,Dibrugarh District,870918,1976153977.77
Assam,2021,2,South Salmara Mancachar District,213176,702484951.45
Assam,2021,2,Nagaon District,928187,2446953429.4
Assam,2021,2,Dhubri District,528440,1316708576.8
Assam,2021,2,Golaghat District,382567,828266419.21
Assam,2021,2,Udalguri District,229956,535712130.36
Assam,2021,2,Majuli District,44407,85365999.51
Assam,2021,2,Sonitpur District,848080,1929013770.59
