states,year,quarter,trans_type,trans_counts,amount
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431.38
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.92
Arunachal Pradesh,2020,3,Others,3005,2695539.36
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938.41
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.22
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926.02
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.88
Arunachal Pradesh,2020,4,Others,4079,4055324.32
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488558.94
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.09
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.47
Arunachal Pradesh,2021,1,Others,3074,3301662.61
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152.08
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.25
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.54
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.79
Arunachal Pradesh,2021,2,Others,3755,3415105.34
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845.03
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578.3
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.78
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.83
Arunachal Pradesh,2021,3,Others,4185,3912143.35
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.12
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816.33
Arunachal Pradesh,2021,4,Merchant payments,521447,704195694.99
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.28
Arunachal Pradesh,2021,4,Others,5901,4862905.89
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.46
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.72
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129.0
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.79
Arunachal Pradesh,2022,1,Others,6052,5002264.11
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.69
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517.36
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643.19
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.1
Arunachal Pradesh,2022,2,Others,5768,3864269.88
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.27
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143.49
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448083.81
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.78
Arunachal Pradesh,2022,3,Others,4687,3224948.7
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.68
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602212.92
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412553.61
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.4
Arunachal Pradesh,2022,4,Others,4838,4020773.9
Assam,2018,1,Recharge & bill payments,632092,93491181.14
Assam,2018,1,Peer-to-peer payments,318025,993525195.98
Assam,2018,1,Merchant payments,40482,34501622.89
Assam,2018,1,Financial Services,18172,4936862.2
Assam,2018,1,Others,48110,31349594.0
Assam,2018,2,Recharge & bill payments,984160,174427478.21
Assam,2018,2,Peer-to-peer payments,530781,2064314053.13
Assam,2018,2,Merchant payments,79307,73366344.81
Assam,2018,2,Financial Services,22773,7051504.66
Assam,2018,2,Others,46852,31425754.73
Assam,2018,3,Recharge & bill payments,1275136,254569069.32
Assam,2018,3,Peer-to-peer payments,843571,3424136709.51
Assam,2018,3,Merchant payments,159532,96783839.37
Assam,2018,3,Financial Services,22677,4741123.82
Assam,2018,3,Others,50935,30904247.88
Assam,2018,4,Recharge & bill payments,1703488,317661277.35
Assam,2018,4,Peer-to-peer payments,1279089,5284776455.07
Assam,2018,4,Merchant payments,667293,240563395.28
Assam,2018,4,Financial Services,28035,6331912.53
Assam,2018,4,Others,56267,38689818.79
Assam,2019,1,Recharge & bill payments,1993220,400281677.94
Assam,2019,1,Peer-to-peer payments,1976310,7291433300.7
Assam,2019,1,Merchant payments,494871,266644645.75
Assam,2019,1,Financial Services,20162,4612454.11
Assam,2019,1,Others,48442,39127457.94
Assam,2019,2,Recharge & bill payments,2512932,539315772.86
Assam,2019,2,Peer-to-peer payments,2293770,10035232820.85
Assam,2019,2,Merchant payments,573646,326844709.59
Assam,2019,2,Financial Services,13654,4037222.41
Assam,2019,2,Others,60927,49538663.41
Assam,2019,3,Peer-to-peer payments,2713539,11835800855.18
Assam,2019,3,Recharge & bill payments,2645302,639885372.75
Assam,2019,3,Merchant payments,513728,421380275.42
Assam,2019,3,Financial Services,8606,6403456.34
Assam,2019,3,Others,61396,46973660.74
Assam,2019,4,Peer-to-peer payments,3222143,14083346879.36
Assam,2019,4,Recharge & bill payments,2937800,704118873.97
Assam,2019,4,Merchant payments,544053,456318130.08
Assam,2019,4,Financial Services,9621,3492255.09
Assam,2019,4,Others,46893,34707757.01
Assam,2020,1,Peer-to-peer payments,4058740,18977446151.77
Assam,2020,1,Recharge & bill payments,3897975,971722606.16
Assam,2020,1,Merchant payments,792646,675423852.95
Assam,2020,1,Financial Services,10173,7054325.51
Assam,2020,1,Others,49326,36781411.34
Assam,2020,2,Recharge & bill payments,6045321,1612522828.72
Assam,2020,2,Peer-to-peer payments,3648386,17358374071.27
Assam,2020,2,Merchant payments,742400,749018053.24
Assam,2020,2,Financial Services,19814,18130004.69
Assam,2020,2,Others,49278,28255168.01
Assam,2020,3,Peer-to-peer payments,5637893,26646565777.44
Assam,2020,3,Recharge & bill payments,5292154,1627282415.95
Assam,2020,3,Merchant payments,1383230,1492484153.39
Assam,2020,3,Financial Services,24954,28452966.03
Assam,2020,3,Others,59480,36605946.75
Assam,2020,4,Peer-to-peer payments,7538478,36013292450.81
Assam,2020,4,Recharge & bill payments,5383505,1662189124.42
Assam,2020,4,Merchant payments,2392184,2466913305.59
Assam,2020,4,Financial Services,29764,32314809.98
Assam,2020,4,Others,79523,51901628.47
Assam,2021,1,Peer-to-peer payments,9449096,45476079487.1
Assam,2021,1,Recharge & bill payments,6494111,2103017761.55
Assam,2021,1,Merchant payments,3459132,3657261586.2
Assam,2021,1,Financial Services,34049,41291047.38
Assam,2021,1,Others,75672,48814663.89
Assam,2021,2,Peer-to-peer payments,11668399,51521387890.61
Assam,2021,2,Recharge & bill payments,9058005,2657676415.25
Assam,2021,2,Merchant payments,4562669,4914753140.04
Assam,2021,2,Financial Services,49671,46106001.5
Assam,2021,2,Others,94161,52549929.27
Assam,2021,3,Peer-to-peer payments,15617592,64131823895.24
Assam,2021,3,Recharge & bill payments,10284267,3248364164.2
Assam,2021,3,Merchant payments,7431371,8208706348.03
Assam,2021,3,Financial Services,39479,43889820.5
Assam,2021,3,Others,131732,67715045.34
Assam,2021,4,Peer-to-peer payments,21393962,86801625126.53
Assam,2021,4,Merchant payments,12895755,13378765005.91
Assam,2021,4,Recharge & bill payments,11484376,3842004488.37
Assam,2021,4,Financial Services,60724,65456475.83
Assam,2021,4,Others,185544,97116796.58
Assam,2022,1,Peer-to-peer payments,27156085,108855352347.45
Assam,2022,1,Merchant payments,19011883,18833132506.02
Assam,2022,1,Recharge & bill payments,12474674,4424035840.37
Assam,2022,1,Financial Services,68432,73257991.39
Assam,2022,1,Others,178812,94659207.47
Assam,2022,2,Peer-to-peer payments,33879530,123829913105.32
Assam,2022,2,Merchant payments,28377534,24333260089.83
Assam,2022,2,Recharge & bill payments,13858113,4814695679.88
Assam,2022,2,Financial Services,50785,55549153.74
Assam,2022,2,Others,168763,77624058.02
Assam,2022,3,Peer-to-peer payments,37000266,127264703851.97
Assam,2022,3,Merchant payments,34935460,28789992307.16
Assam,2022,3,Recharge & bill payments,13974568,5295136932.04
Assam,2022,3,Financial Services,65066,62882386.46
Assam,2022,3,Others,138451,76363577.27
Assam,2022,4,Peer-to-peer payments,44828832,150693397669.18
Assam,2022,4,Merchant payments,43605784,36033810141.57
Assam,2022,4,Recharge & bill payments,15344794,5773980885.27
Assam,2022,4,Financial Services,74414,75960367.92
Assam,2022,4,Others,127443,76370123.6
Bihar,2018,1,Recharge & bill payments,3159922,375559206.77
Bihar,2018,1,Peer-to-peer payments,2052089,5295346761.45
Bihar,2018,1,Financial Services,194295,33999413.88
Bihar,2018,1,Merchant payments,138885,139827755.74
Bihar,2018,1,Others,279111,201025034.18
Bihar,2018,2,Recharge & bill payments,4346849,700649777.06
Bihar,2018,2,Peer-to-peer payments,3447898,12141448845.08
Bihar,2018,2,Merchant payments,311487,318571872.82
Bihar,2018,2,Financial Services,267433,45332532.1
Bihar,2018,2,Others,258711,300128082.62
Bihar,2018,3,Peer-to-peer payments,8893764,18695889187.89
Bihar,2018,3,Recharge & bill payments,4401439,804061398.52
Bihar,2018,3,Merchant payments,586862,367608510.73
Bihar,2018,3,Financial Services,274510,33276460.45
Bihar,2018,3,Others,211229,234968821.31
Bihar,2018,4,Peer-to-peer payments,8094296,26224303882.8
Bihar,2018,4,Recharge & bill payments,5469096,986310785.01
Bihar,2018,4,Merchant payments,1680664,848968693.07
